Biblioteca,Ciutat,Manuscrits,lat,lng
Biblioteca Nazionale Centrale,Florència,"B. 3. 1573, B. 6. 1680, II.iii.28, II.iv.53, XV.3, XV.22, XVI.25, XVI.40, XVI.43, XVI.45, XVI.46, XVI.47, XVI.48, XVI.49, XVI.50, XVI.51, XVI.52, XVI.53, XVI.54, XVI.55, XVI.56, XVI.57, XVI.58, XVI.59, XVI.60, XVI.61, XVI.62, XVI.76, XVI.77, XVI.105, XVI.133, Vallombrosa, 9 (298), 792, 867, 887, 933, 948, 1026, 1051, II.xi.85, 52",43.7671606,11.262229099824111
Biblioteca Nazionale Marciana,Venècia,"Z. 25 [=259], II, 109 [=5044], IV, 55 [=5097], I, 41 [=2057], III, 116 [=2208], III, 118 [=2477], III, 193 [=2787], VI, 83 [=3342], VI, 154 [=3206], VI, 200 [=2757], VI, 215 [=3599], VI, 232 [=3345], VI, 282 [=2859], VI, 283 [=3409], VI, 308 [=3649], VIII, 28 [=3684], XIV, 57 [=4329], Z. 143 [=1720], Z. 298 [=1905], Z. 299 [=1906], Z. 325 [=1731], 418 (= 1915)",45.433423149999996,12.33920269924566
Biblioteca Nazionale Universitaria,Torí,"G-VI-27, H-II-10, H-V-19, I-V-47, K-IV-9, 1051, 1314, 1656",45.0683608,7.6870888120299945
Biblioteca Palatina,Parma,"309, 2639, 1427",44.804371399999994,10.326217177840913
Biblioteca Panizzi,Reggio-Emilia,"E 10, F 82",44.6965084,10.6292895
Biblioteca Pública,Palma,"Inc. 463, Perdut.1, Perdut.2, 40, 76, 105, 111, 182, 185, 226, 315, 484, 511, 526, 562, 575, 581, 591, 622, 623, 669, 670, 680, 682, 688, 693, 712, 741, 759, 760, 763, 765, 770, 771, 787, 805, 809, 823, 832, 841, 875, 892, 894, 991, 992, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1061, 1062, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1070, 1071, 1072, 1074, 1075, 1076, 1079, 1080, 1081, 1082, 1083, 1084, 1085, 1086, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1097, 1098, 1099, 1100, 1103, 1104, 1122, 1124, 1129, 1135, 1138, 1139, 1143, 1144, 1152, 1155, 1161, 1165, 1171, 1173, 1176, 1184, 62-64, 592-605, 766-769, 1056-1060, 1077-1078",39.5692469,2.6502354
Biblioteca Pública,Évora,CVI/1-40,38.572363800000005,-7.906740427172464
Biblioteca Pública Municipal,Porto,"95 (1150), 803",-29.5824693,-51.0881121
Biblioteca Riccardiana,Florència,"337, 390, 669, 691, 803, 923, 932, 942, 984, 1001, 1165, 1367, 2827",43.7755078,11.2554234
Biblioteca Statale,Lucca,"1072, 2641",43.8449331,10.5013311
Biblioteca Universitaria,Bolonya,"138 (104), 142 (109), 164 (153), 168 (180), 169 (181), 270 (457), 271 (458), 522 (926), 523 (927), 524 (928), 525 (929), 888 (1732), 1353 (2591), 20 (12.I.9), 21",44.4970778,11.3530204
Biblioteca Universitaria,Càller,131,39.2171806,9.1150807
Biblioteca Universitaria,Gènova,A IX 27,44.4163613,8.9229593
Biblioteca Universitaria,Pisa,687,43.7172969,10.3996132
Biblioteca Universitaria,Pàdua,"63, 1380, 1717",45.4070616,11.8805174
Biblioteca de Catalunya,Barcelona,"12, 18, 118, 366, 393, 394, 397, 481, 676, 682, 686, 700, 877, 1029, 1038, 1131, 1167, 1304, 1451, 1452, 1463, 1518, 1720, 1726, 1727, 1728, 1740, 1764, 1804, 1901, 2007, 2017, 2021, 2022, 2261, 3075, 3076, 3078, 3174, 3187, 3188, 3189, 3337, 9318, AH 954/1",41.3810089,2.1695118
Biblioteca del Comune e dell'Accademia Etrusca,Cortona,"212, 213, 214, 215, 291",43.2642235,11.9819764
Biblioteca del Palacio Real,Madrid,II-2462,40.032521,-3.6017813
Biblioteca del Real Monasterio,El Escorial,"&.II.1, &.II.15, &.IV.6, d.II.5, d.III.23, d.III.25, f.I.10, f.IV.12, g.II.5, g.IV.8, g.IV.9, g.IV.39, II.G.6, x.III.3",40.5892106,-4.1487694
Biblioteca del Seminario Diocesano di Concordia-Pordenone,Pordenone,43,45.9573423,12.6699687
Biblioteca del Seminario vescovile,Pàdua,Cod. 16,45.4007931,11.8725486
Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana,Roma,"129, 44.A.3, 36.E.34",41.8930903,12.4667278
Biblioteca nazionale,Bari,I.116,41.128877849999995,16.846181997327943
Biblioteka Jagiellonska,Cracòvia,"Hisp. Qu. 63, 809, 839",50.06149755,19.92254796261572
Biblioteka Uniwersytecka,Wroclaw,Mil. II 384,51.112310300000004,17.050636151086955
