,Ciutat,Biblioteca
12,París,Bibliothèque de l'Arsenal
13,París,Bibliothèque de Sainte-Geneviève
14,París,Bibliothèque du château de Chantilly
15,París,Bibliothèque Interuniversitaire de Santé - Pharmacie
16,París,Bibliothèque Mazarine
17,París,Bibliothèque Nationale
18,París,Bibliothèque Nationale
19,París,Bibliothèque Nationale
20,París,Bibliothèque Nationale
21,París,Bibliothèque Nationale
22,Reims,Bibliothèque de la Ville
23,Tolosa,Bibliothèque Publique
24,Troyes,Bibliothèque Municipale
0,Dublin,"Archives, University College"
0,Bari,Biblioteca nazionale
1,Bèrgam,Civica Biblioteca Angelo Mai
2,Bolonya,Biblioteca Comunale
3,Bolonya,Biblioteca Universitaria
4,Bolonya,Biblioteca Universitaria
5,Brescia,Biblioteca Civica Queriniana
6,Càller,Biblioteca Universitaria
7,Camaldoli,Monastero di Camaldoli
8,Capestrano,Biblioteca del Convento di S. Giovanni
9,Cortona,Biblioteca del Comune e dell'Accademia Etrusca
10,Cremona,Biblioteca Governativa
11,Fermo,Biblioteca Comunale
12,Ferrara,Biblioteca Ariostea
13,Florència,Biblioteca Medicea Laurenziana
14,Florència,Biblioteca Medicea Laurenziana
15,Florència,Biblioteca Medicea Laurenziana
16,Florència,Biblioteca Nazionale Centrale
17,Florència,Biblioteca Nazionale Centrale
18,Florència,Biblioteca Nazionale Centrale
19,Florència,Biblioteca Nazionale Centrale
20,Florència,Biblioteca Nazionale Centrale
21,Florència,Biblioteca Nazionale Centrale
22,Florència,Biblioteca Riccardiana
23,Foligno,Biblioteca Communale
24,Gènova,Biblioteca Civica Berio
25,Gènova,Biblioteca Universitaria
26,Imperia (Itàlia),Biblioteca Civica L. Lagorio
27,Lucca,Biblioteca Statale
28,Milà,Biblioteca Ambrosiana
29,Milà,Biblioteca Nazionale Braidense
30,Mòdena,Biblioteca Estense Universitaria
31,Mòdena,Biblioteca Estense Universitaria
32,Mòdena,Biblioteca Estense Universitaria
33,Nàpols,Biblioteca Nazionale
34,Nàpols,Biblioteca Nazionale
35,Pàdua,Biblioteca Antoniana
36,Pàdua,Biblioteca Capitolare
37,Pàdua,Biblioteca Civica
38,Pàdua,Biblioteca del Seminario vescovile
39,Pàdua,Biblioteca Universitaria
40,Palerm,Biblioteca Centrale della Regione Siciliana
41,Palerm,Biblioteca Comunale
42,Parma,Biblioteca Palatina
43,Parma,Biblioteca Palatina
44,Parma,Biblioteca Palatina
45,Pavia,Biblioteca Universitaria
46,Pesaro,Biblioteca Oliveriana
47,Pisa,Biblioteca Universitaria
48,Poppi,Biblioteca Comunale Rilliana
49,Pordenone,Biblioteca del Seminario Diocesano di Concordia-Pordenone
50,Ravenna,Biblioteca Classense
51,Reggio-Emilia,Archivio di Stato
52,Reggio-Emilia,Biblioteca Panizzi
53,Rímini,Biblioteca Gambalunga
54,Roma,Archivio Generale dei Carmelitani
55,Roma,Arxiu de la sagrada congregació de ritus
