Biblioteca,Ciutat,Manuscrits
Biblioteca Civica,Verona,606 (521-523)
Biblioteca Civica Berio,Gènova,III/1/31
Biblioteca Civica Bertoliana,Vicenza,328
Biblioteca Civica L. Lagorio,Imperia (Itàlia),3 (7)
Biblioteca Civica Queriniana,Brescia,G.II.10 - I.III.23/4
Biblioteca Classense,Ravenna,388 - 437
Biblioteca Colombina,Sevilla,7-4-5 - 7-7-8 - 5-1-28 - 5-1-42 - 5-1-46 - 5-3-26 - 5-4-48 - 5-6-35 - 7-2-27 - 7-6-41 - 141-23-14 - 141-23-15
Biblioteca Communale,Foligno,C 47
Biblioteca Comunale,Bolonya,A.2637
Biblioteca Comunale,Fermo,19
Biblioteca Comunale,Palerm,4.Qq.A.10
Biblioteca Comunale,Terni,61 (C III 62 M)
Biblioteca Comunale,Trento,116
Biblioteca Comunale Rilliana,Poppi,59 - 90
Biblioteca Diocesana de Mallorca,Palma,"E-131 - E-132 - E-134 - E-159 - F-28 - F-71 - F-79 - F-129 - F-130 - F-136 - F-137 - F-138 - F-143 - F-196 - F-201 - F-205 - F-206 - F-207 - F-208 - F-209 - F-210 - F-212 - F-213 - F-219 - F-221 - F-138 (b) - Llig. 1 - Llig. 2 - Llig. 6 - Llig. 7 - Pérez Sap. 33?, s. n. - 3"
Biblioteca Estense Universitaria,Mòdena,"49, 396 - 455, 1264 - 357 = alfa.T.4.8 - 360 = alfa.U.4.2 - 364 = alfa.P.4.5 - 365 = alfa.S.4.8 - 367 = alfa.S.4.6 - 368 = alfa.S.4.5 - 379 = alfa.W.3.7 - 353 = alfa.U.4.19 - 354 = alfa.U.4.20 - 355 = alfa.T.4.10 - 356 = alfa.U.4.21 - 358 = alfa.L.5.11 - 362 = alfa.P.4.14 - 876 = alfa.R.9.25"
Biblioteca Ferran Capdebou,Palma,S.18
Biblioteca Gambalunga,Rímini,88 - 272 - 274
Biblioteca Governativa,Cremona,64 - 99
Biblioteca Hispano-Caputxina,Barcelona,7-5-36
Biblioteca Històrica de la Universitat de València,València,216
Biblioteca Medicea Laurenziana,Florència,"190 - 191 - 197 - 893 - 907 - 1246 - 1448, 174, Or 142a"
Biblioteca Museu Víctor Balaguer,Vilanova i la Geltrú,444
Biblioteca Nacional,Lisboa,385 (203)
Biblioteca Nacional Russa,Sant Petersburg,Lat. O. III. 86 - Lat. Q. I. 137 - Lat. Q. III. 646 - Lat. Q. III. 691
Biblioteca Nacional de España,Madrid,Res. 35 - 74 - 131 - 132 - 174 - 185 - 444 - 875 - 2058 - 2151 - 3344 - 3351 - 3352 - 3353 - 3364 - 3365 - 3506 - 4293 - 5611 - 5734 - 7443 - 9250 - 9609 - 9898 - 10103 - 10394 - 11559 - 13552 - 13595 - 16884 - 17714 - 17721 - 17892 - 18341 - 18361 - 10818/22
Biblioteca Nazionale,Nàpols,"VII.D.19 - VII.D.32 - VIII.C.17 - VIII.C.96 - VIII.D.10 - VIII.D.17 - VIII.D.18 - VIII.F.21 - VIII.F.38 - VIII.F.42 - XIII.AA.32, 13"
Biblioteca Nazionale Braidense,Milà,AD XV 17/2 - AH. X.47
Biblioteca Nazionale Centrale,Florència,"B. 3. 1573 - B. 6. 1680, II.iii.28 - II.iv.53 - XV.3 - XV.22 - XVI.25 - XVI.40 - XVI.43 - XVI.45 - XVI.46 - XVI.47 - XVI.48 - XVI.49 - XVI.50 - XVI.51 - XVI.52 - XVI.53 - XVI.54 - XVI.55 - XVI.56 - XVI.57 - XVI.58 - XVI.59 - XVI.60 - XVI.61 - XVI.62 - XVI.76 - XVI.77 - XVI.105 - XVI.133, Vallombrosa, 9 (298), 792 - 867 - 887 - 933 - 948 - 1026 - 1051, II.xi.85, 52"
Biblioteca Nazionale Centrale Vittorio Emanuele II,Roma,"472 - 1832, 244"
Biblioteca Nazionale Marciana,Venècia,"Z. 25 [=259], II, 109 [=5044] - IV, 55 [=5097], I, 41 [=2057] - III, 116 [=2208] - III, 118 [=2477] - III, 193 [=2787] - VI, 83 [=3342] - VI, 154 [=3206] - VI, 200 [=2757] - VI, 215 [=3599] - VI, 232 [=3345] - VI, 282 [=2859] - VI, 283 [=3409] - VI, 308 [=3649] - VIII, 28 [=3684] - XIV, 57 [=4329] - Z. 143 [=1720] - Z. 298 [=1905] - Z. 299 [=1906] - Z. 325 [=1731], 418 (= 1915)"
Biblioteca Nazionale Universitaria,Torí,G-VI-27 - H-II-10 - H-V-19 - I-V-47 - K-IV-9 - 1051 - 1314 - 1656
Biblioteca Oliveriana,Pesaro,1109 - 1595 I-IV
Biblioteca Palatina,Parma,"309, 2639, 1427"
Biblioteca Panizzi,Reggio-Emilia,E 10 - F 82
