,lat,lng
187,non reconnu,non reconnu
188,48.386889499999995,10.907072764821896
189,52.5182229,13.391516595586609
190,50.00848055,8.269294765148286
191,49.7513043,6.6408707
192,51.028217350000006,13.736598915793287
193,non reconnu,non reconnu
194,non reconnu,non reconnu
195,non reconnu,non reconnu
196,52.20689035,0.11511257525718013
197,non reconnu,non reconnu
198,non reconnu,non reconnu
199,52.2028119,0.1089499
200,non reconnu,non reconnu
201,non reconnu,non reconnu
202,non reconnu,non reconnu
203,non reconnu,non reconnu
204,50.9460511,10.7048551
205,51.1884273,6.7948539
206,51.962833950000004,7.620874533167392
207,51.489562750000005,11.970422554112464
208,47.5581618,7.585367
209,50.9885307,11.0076438
210,47.994185849999994,7.844933146080173
211,47.07310005,15.448417207431646
212,51.5394917,9.935947053127183
213,51.3324928,12.368258655173012
214,48.1488833,11.5677668
215,47.7990643,13.0414228
216,49.59668005,11.006476741375543
217,non reconnu,non reconnu
218,non reconnu,non reconnu
219,48.7772447,9.185468871231171
220,non reconnu,non reconnu
221,47.04828295,8.307117842572445
222,47.3741639,8.545015528012051
223,non reconnu,non reconnu
224,48.205375950000004,16.365281764422452
