,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
6,Viena,Österreichische Nationalbibliothek,(fons general),2474 - 2529 - 2530 - 4480 - 5168 - 5169 - 5230 - 5485 - 5487 - 5509 - 5510 - 5511 - 5520 - 11282 - 11327 - 11342 - 11378 - 11379 - 12834 - 12837,
7,Viena,Österreichische Nationalbibliothek,Pal.,12834,
0,Brussel·les,Bibliothèque Royale,[Fons general. Codi: 57],[I] 10493-10497 - IV 00583 - 1188 - 2954 - 2955 - 2956 - 3751,
1,Lieja,Bibliothèque de l'Université,[Fons general. Codi: 290],354,
2,Lovaina,Maurits Sabbebibliotheek,"Berchmanianum, Nijmegen (SJN)",PM 0018/V,
0,Toronto,Thomas Fisher Rare Book Library,[Fons general. Codi: 338],ms. 4069,
0,Copenhaguen,Kongelige Bibliotek,Gamle kongelige Samling,1713 4t - 236 Fol. - 3478 8º - 3498 8au,
1,Copenhaguen,Kongelige Bibliotek,Ny kgl. Samling,"640 8º - 2887 4º - 638, 8º",
2,Copenhaguen,Kongelige Bibliotek,Thott,"105, 4º",
0,El Caire,Centre d'Études Orientales Chrétiennes des Franciscains,[Fons general. Codi: 246],Mouski Syr 13,
0,Barcelona,Arxiu Capitular,[Fons general. Codi: 201],6 - 178.8,
1,Barcelona,Arxiu Capitular,Confraria de la Puríssima,s. n.,
2,Barcelona,Arxiu de la Corona d'Aragó,Gran Priorat de Jerusalem,692,
3,Barcelona,Arxiu de la Corona d'Aragó,Ripoll,129 - 159,
4,Barcelona,Arxiu de la Corona d'Aragó,Fons general,II-A-2 (a),
5,Barcelona,Arxiu de la Corona d'Aragó,Cancelleria,reg. 2609,
6,Barcelona,Arxiu de la Corona d'Aragó,Fragments de manuscrits,Frag. 89,
7,Barcelona,Arxiu de la Corona d'Aragó,"Col·leccions, Autògrafs",II-A-2 (b),
8,Barcelona,Arxiu de la Corona d'Aragó,Monacals-Universitat,Lligall 64,
9,Barcelona,Arxiu General de la Diputació,[Fons general. Codi: 230],3385/9,
10,Barcelona,Biblioteca de Catalunya,(fons general),12 - 18 - 118 - 366 - 393 - 394 - 397 - 481 - 676 - 682 - 686 - 700 - 877 - 1029 - 1038 - 1131 - 1167 - 1304 - 1451 - 1452 - 1463 - 1518 - 1720 - 1726 - 1727 - 1728 - 1740 - 1764 - 1804 - 1901 - 2007 - 2017 - 2021 - 2022 - 2261 - 3075 - 3076 - 3078 - 3174 - 3187 - 3188 - 3189 - 3337 - 9318,
11,Barcelona,Biblioteca de Catalunya,Fons històric de l'Hospital de la Santa Creu,AH 954/1,
12,Barcelona,Biblioteca de la Universitat de Barcelona,[Fons general. Codi: 49],59 - 96 - 280 - 728 - 1986,
13,Barcelona,Biblioteca de l'Ateneu Barcelonès,[Fons general. Codi: 47],III,
14,Barcelona,Biblioteca Hispano-Caputxina,[Fons general. Codi: 352],7-5-36,
15,Barcelona,Col·leccions privades,[Fons general. Codi: 50],s. s.,
16,Barcelona,Col·leccions privades,Col·lecció T,Ms. T,
17,Barcelona,Col·leccions privades,Batllori,s. n.,
18,Còrdova,Biblioteca Pública Provincial,[Fons general. Codi: 341],56,
19,El Escorial,Biblioteca del Real Monasterio,[Fons general. Codi: 73],&.II.1 - &.II.15 - &.IV.6 - d.II.5 - d.III.23 - d.III.25 - f.I.10 - f.IV.12 - g.II.5 - g.IV.8 - g.IV.9 - g.IV.39 - II.G.6 - x.III.3,
20,Girona,Arxiu Capitular,[Fons general. Codi: 199],69,
21,Las Palmas,Seminario Conciliar,Fray Torcaz,I,
22,Madrid,Archivo Histórico Nacional,Consejo de Inquisición,L.970 - lligall 970 - 4460/6,
23,Madrid,"Biblioteca de la Universidad Complutense, Biblioteca Histórica",[Fons general. Codi: 90],64 - 65 - 106 - 107,
24,Madrid,Biblioteca del Palacio Real,[Fons general. Codi: 185],II-2462,
