,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
43,Parma,Biblioteca Palatina,Cod. Parm.,2639,
44,Parma,Biblioteca Palatina,(fons general),1427,
45,Pavia,Biblioteca Universitaria,Fondo Aldini,120 - 413,
46,Pesaro,Biblioteca Oliveriana,[Fons general. Codi: 133],1109 - 1595 I-IV,
47,Pisa,Biblioteca Universitaria,[Fons general. Codi: 269],687,
48,Poppi,Biblioteca Comunale Rilliana,[Fons general. Codi: 205],59 - 90,
49,Pordenone,Biblioteca del Seminario Diocesano di Concordia-Pordenone,Fondo manoscritti,43,
50,Ravenna,Biblioteca Classense,[Fons general. Codi: 304],388 - 437,
51,Reggio-Emilia,Archivio di Stato,Archivio Vallisneri,7,
52,Reggio-Emilia,Biblioteca Panizzi,Mss. vari,E 10 - F 82,
53,Rímini,Biblioteca Gambalunga,[Fons general. Codi: 307],88 - 272 - 274,
54,Roma,Archivio Generale dei Carmelitani,[Fons general. Codi: 200],III Varia 1,
55,Roma,Arxiu de la sagrada congregació de ritus,Regestum quorundam actorum in causis servorum Dei,237,
56,Roma,Arxiu de la sagrada congregació de ritus,Biblioteca Angelica,[Fons general. Codi: 137],744
57,Roma,Biblioteca Casanatense,[Fons general. Codi: 140],43 - 657 - 776 - 1022 - 1414 - 1533 - 1535 - 1589 - 2229 - 3567,
58,Roma,Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana,[Fons general. Codi: 141],129 - 44.A.3 - 36.E.34,
59,Roma,Biblioteca Nazionale Centrale Vittorio Emanuele II,Fondi minori,472 - 1832,
60,Roma,Biblioteca Nazionale Centrale Vittorio Emanuele II,Fondo Vittorio Emanuele,244,
61,Roma,Collegio di Sant'Isidoro,[Fons general. Codi: 143],solt - 1/1 - 1/18 - 1/20 - 1/22 - 1/38 - 1/43 - 1/46 - 1/71 - 1/95 - 1/103 - 1/107 - 1/108 - 1/109 - 1/110 - 1/114 - 1/115 - 2/104,
62,Roma,San Candido,Biblioteca della Collegiata (Stiftsbibliothek),[Fons general. Codi: 12],III. C. 12 - VIII. B. 8 - VIII. B. 9 - VIII. B. 10 - VIII. B. 11 - VIII. B. 12 - VIII. B. 13 - VIII. B. 14 - VIII. B. 16 - VIII. C. 3 - VIII. C. 8 - VIII. C. 11 - VIII. C. 13 - VIII. D. 1 - VIII. D. 4
63,Savignano sul Rubicone,Rubiconia Accademia dei Filopatridi,[Fons general. Codi: 148],27,
64,Terni,Biblioteca Comunale,[Fons general. Codi: 152],61 (C III 62 M),
65,Torí,Archivio di Stato,[Fons general. Codi: 320],Jb-II-19,
66,Torí,Biblioteca Nazionale Universitaria,[Fons general. Codi: 37],G-VI-27 - H-II-10 - H-V-19 - I-V-47 - K-IV-9 - 1051 - 1314 - 1656,
67,Trento,Biblioteca Comunale,[Fons general. Codi: 154],116,
68,Venècia,Biblioteca Nazionale Marciana,Fr.,Z. 25 [=259],
69,Venècia,Biblioteca Nazionale Marciana,It.,"II, 109 [=5044] - IV, 55 [=5097]",
70,Venècia,Biblioteca Nazionale Marciana,Lat.,"I, 41 [=2057] - III, 116 [=2208] - III, 118 [=2477] - III, 193 [=2787] - VI, 83 [=3342] - VI, 154 [=3206] - VI, 200 [=2757] - VI, 215 [=3599] - VI, 232 [=3345] - VI, 282 [=2859] - VI, 283 [=3409] - VI, 308 [=3649] - VIII, 28 [=3684] - XIV, 57 [=4329] - Z. 143 [=1720] - Z. 298 [=1905] - Z. 299 [=1906] - Z. 325 [=1731]",
71,Venècia,Biblioteca Nazionale Marciana,Zan. lat.,418 (= 1915),
72,Verona,Biblioteca Civica,[Fons general. Codi: 315],606 (521-523),
73,Vicenza,Biblioteca Civica Bertoliana,[Fons general. Codi: 316],328,
0,Amsterdam,Bibliotheca Philosophica Hermetica (J.R. Ritman Library),(l'únic ms. que hi ha quedat?),17,
1,Leiden,Bibliotheek der Universiteit,Voss. Chym.,F.1 - F.20 - F.29 - F.35 - F.36 - O.3 - O.5 - O.8 - Q.2 - Q.11 - Q.17 - Q.21 - Q.33,
2,Leiden,Bibliotheek der Universiteit,Vul.,52 B,
3,l'Haia,Koninklijke Bibliotheek,Biblioteca Philosophica Hermetica,M16 - M85 - M98 - M160 - M218 - M319 - M405,
4,l'Haia,Koninklijke Bibliotheek,(fons general),73 F 5-10,
5,Utrecht,Bibliotheek der Universiteit,[Fons general. Codi: 157],691 (Eccl. 41),
0,Cieszyn,Ksiaznica Cieszynska,[Fons general. Codi: 270],SZ DD VII 33,
1,Cracòvia,Biblioteka Jagiellonska,[Fons general. Codi: 6],Hisp. Qu. 63 - 809 - 839,
2,Gdansk,Biblioteka Polskiej Akademii Nauk,(fons general),2224,
3,Gdansk,Biblioteka Polskiej Akademii Nauk,Mar.,F. 309,
4,Wroclaw,Biblioteka Uniwersytecka,Milich,Mil. II 384,
0,Évora,Biblioteca Pública,[Fons general. Codi: 249],CVI/1-40,
1,Lisboa,Academia das Ciências,Série vermelha,ms. 184,
2,Lisboa,Biblioteca Nacional,Alcobaça,385 (203),
3,Porto,Biblioteca Pública Municipal,Santa Cruz,95 (1150),
4,Porto,Biblioteca Pública Municipal,(fons general),803,
0,Bristol,City Archives,[Fons general. Codi: 236],04792,
1,Cambridge (GB),Corpus Christi College,[Fons general. Codi: 276],99 - 112 - 395 - 396,
2,Cambridge (GB),Fitzwilliam Museum,[Fons general. Codi: 321],366,
3,Cambridge (GB),Trinity College,(fons general),O.8.5 o 1380 - O.3.27 o 1199 - O.3.39 o 1211 - O.4.39 o 1269 - O.8.14 o 1389 - O.8.28 o 1403 - O.8.32 o 1407,
4,Cambridge (GB),Trinity College,Lat.,R.I.66,
5,Cambridge (GB),University Library,[Fons general. Codi: 60],2391,
6,Canterbury,Christ Church,[Fons general. Codi: 277],50 (B-8),
7,Edimburg,National Library of Scotland,[Fons general. Codi: 182],Acc. 9253 - 31.1.09,
8,Edimburg,University Library,Borland,117 - 127 - 131 - 31.5.2 - 31.3.20,
9,Glasgow,University of Glascow Library,Ferguson,13 - 14 - 37 - 59 - 83 - 105 - 107 - 123 - 192 - 229 - 230 - 323 - 308/1,
10,Glasgow,University of Glascow Library,(fons general),B.C.10b.5,
11,Glasgow,University of Glascow Library,Hamilton,26,
12,Londres,British Library,Add.,9351 - 10764 - 14040 - 16428 - 16429 - 16430 - 16431 - 16432 - 16434 - 22768 - 41486,
13,Londres,British Library,Harley,3369 - 3770 - 5399 - 6149,
14,Londres,British Library,Royal,14.E.II - 8.F.VIII,
15,Londres,British Library,Sloane,75 - 419 - 976 - 1091 - 1118 - 1255 - 2006 - 2008 - 2128 - 2385 - 2416 - 3457,
16,Londres,British Library,Arundel,251,
17,Londres,British Library,[Imprès],635.l.11,
18,Londres,College of Arms,[Fons general. Codi: 323],M19,
19,Londres,Wellcome Institute for the History of Science,[Fons general. Codi: 19],117 - 185 - 186 - 383 - 384 - 385 - 441 - 442 - 443 - 444 - 445 - 446 - 447 - 448 - 449 - 450 - 451 - 452 - 511 - 512 - 514 - 519 - 520 - 525 - 526 - 527 - 528 - 598 - 758 - 1041 - 1295 - 1298 - 3346 - 3347 - 3557 - 3558 - 3563 - 3574 - 3639 - 3934 - 3945 - 4166,
20,Manchester,John Rylands Library,lat.,65,
21,Manchester,John Rylands Library,Christie,S. n. [1] - S. n. [2],
22,Oxford,Bodleian Library,Arch. Selden.,B 25,
23,Oxford,Bodleian Library,Ashmolean,273 - 1437 - 1441 - 1444 - 1450 - 1451 - 1471 - 1479 - 1480 - 1483 - 1484 - 1490 - 1494 - 1507 - 1508,
24,Oxford,Bodleian Library,Bodl.,465 - 645 - 879,
25,Oxford,Bodleian Library,Canon. Ital.,26 - 147,
26,Oxford,Bodleian Library,Canon. Misc.,26 - 35 - 123 - 141 - 195 - 298 - 299 - 312 - 332 - 365,
27,Oxford,Bodleian Library,Canon. Pat. Lat.,195,
28,Oxford,Bodleian Library,Digby,85 - 162 - 164 - 192,
29,Oxford,Bodleian Library,Douce,162,
30,Oxford,Bodleian Library,Laud Misc.,219,
31,Oxford,Bodleian Library,Laud Lat.,46,
32,Oxford,Bodleian Library,Lat. misc.,40,
33,Oxford,Bodleian Library,Fairfax,22,
34,Oxford,Corpus Christi College,[Fons general. Codi: 110],136 - 185 - 238 - 244 - 247,
35,Oxford,Merton College,[Fons general. Codi: 111],89 - 94,
36,Oxford,Queen's College,[Fons general. Codi: 234],161,
37,Oxford,St. John's College,[Fons general. Codi: 192],102,
38,Winchester,The Warden and Fellows Library,Winchester College,39,
0,Praga,Archiv Pražského hradu (olim: Knihovna Metropolitní Kapituli),[Fons general. Codi: 135],L 13 - L 31,
1,Praga,Universítni Kníhovna,[Fons general. Codi: 268],XXIII D 132 (Lobk. 249),
0,Vaticà,Bibliotheca Apostolica Vaticana,Barb. lat.,215 - 267 - 273 - 684 - 1118,
1,Vaticà,Bibliotheca Apostolica Vaticana,Borg. lat.,91 - 387 - 545,
2,Vaticà,Bibliotheca Apostolica Vaticana,Chig. lat.,A.IV.105 - E.IV.118,
3,Vaticà,Bibliotheca Apostolica Vaticana,Ferrajoli,11,
4,Vaticà,Bibliotheca Apostolica Vaticana,Ottob. lat.,31 - 375 - 396 - 405 - 409 - 542 - 561 - 654 - 704 - 816 - 832 - 839 - 845 - 1095 - 1250 - 1278 - 1405 - 1489 - 1624 - 1853 - 2347,
5,Vaticà,Bibliotheca Apostolica Vaticana,Pal. lat.,381 - 981 - 984 - 1339 - 1590,
6,Vaticà,Bibliotheca Apostolica Vaticana,Reg. lat.,1179 - 1289 - 1408 - 1468,
7,Vaticà,Bibliotheca Apostolica Vaticana,Ross. lat.,756 - 990,
8,Vaticà,Bibliotheca Apostolica Vaticana,Urb. lat.,852 - 1394 - 1442 - 1444 - 1506,
9,Vaticà,Bibliotheca Apostolica Vaticana,Vat. lat.,946 - 1054 - 2934 - 3023 - 3069 - 3177 - 3187 - 3468 - 3857 - 3858 - 4033 - 4093 - 4724 - 4850 - 5044 - 5083 - 5090 - 5111 - 5112 - 5347 - 5846 - 5847 - 5902 - 6197 - 6198 - 6295 - 7199 - 7239 - 7317 - 7623 - 9332 - 9344 - 9443 - 9832 - 10036 - 10275 - 10598 - 10734 - 10811 - 11585 - 12806 - 13680,
10,Vaticà,Bibliotheca Apostolica Vaticana,Capp.,lat. 254,
11,Vaticà,Bibliotheca Apostolica Vaticana,Vat. ebr.,375,
0,Alep (Síria),Évêché Maronite,[Fons general. Codi: 245],127,
0,Uppsala,Universitetsbiblioteket,[Fons general. Codi: 156],C 51,
0,Basilea,Universitätsbibliothek,[Fons general. Codi: 221],F IX 15 - O II 10,
1,Berna,Burgerbibliothek,[Fons general. Codi: 2],A 78 - B 37 - B 38 - B 44 - 244 - 762,
2,Cologny-Ginebra,Fondation Martin Bodmer,Bodmer,109,
3,Fribourg,Couvent des Cordeliers (Franziskanerkloster),[Fons general. Codi: 325],60,
4,Ginebra,Bibliothèque Publique et Universitaire,lat.,82,
5,Lucerna,Zentral- und Hochschulbibliothek,KB Msc.,13.4º,
6,Sankt Gallen,Kantonsbibliothek (Vadiana),Vad. Slg.,388 - 391 - 393,
7,Zuric,Zentralbibliothek,[Fons general. Codi: 180],C 53,
